Movie,Director,Year,Rating,Summary,Worldwide Box Office ($),Rotten Tomatoes (%),Rotten Tomatoes (as decimal)
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,2012,R,"A graphic designer's enviable life slides into despair when his girlfriend breaks up with him.
",210565,16,0.16
Ginger & Rosa,Sally Porter,2012,PG-13,"A look at the lives of two teenage girls - inseparable friends Ginger and Rosa -- growing up in 1960s London as the Cuban Missile Crisis looms, and the pivotal event that comes to redefine their relationship.",1415896,78,0.78
Spring Breakers,Harmony Korine,2012,R,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",31149251,68,0.68
The Bling Ring,Sofia Coppola,2013,R,"Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.",12407491,60,0.60
The Spectacular Now,James Ponsoldt,2013,R,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",6916951,92,0.92
Enemy,Denis Villeneuve,2013,R,A man seeks out his exact look-alike after spotting him in a movie.,4590814,72,0.72
Under the Skin,Jonathan Glazer,2013,R,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",7229933,83,0.83
Locke,Steven Knight,2013,R,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call that sets in motion a series of events that threaten his carefully cultivated existence.",2189800,91,0.91
Obvious Child,Gillian Robespierre,2014,R,A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.,3324070,90,0.90
The Rover,David Michod,2014,R,"10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.",3180252,67,0.67
Life After Beth,Jeff Baena,2014,R,"A young man's recently deceased girlfriend mysteriously returns from the dead, but he slowly realizes she is not the way he remembered her.",334491,46,0.46
Tusk,Kevin Smith,2014,R,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,1887554,46,0.46
Laggies,Lynn Shelton,2014,R,"In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes. She takes an opportunity to escape for a week, hiding out in the house of her new 16-year-old friend Annika and her world-weary single dad.",2262436,64,0.64
Revenge of the Green Dragons,Andrew Loo,2014,R,Two best friends rise through the ranks of New York's Chinese underworld in the 1980s.,213164,16,0.16
The Captive,Atom Egoyan,2014,R,"Eight years after the disappearance of Cassandra, some disturbing incidents seem to indicate that she's still alive. Police, parents and Cassandra herself, will try to unravel the mystery of her disappearance.",2090612,28,0.28
A Most Violent Year,J. C. Chandor,2014,R,"In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.",8869722,90,0.90
Son of a Gun,Julius Avery,2014,R,"JR busts out of prison with Brendan Lynch, Australia's most notorious criminal, and joins Lynch's gang for a gold heist that soon pits the two men against one another.",256003,63,0.63
While We're Young,Noah Baumbach,2014,R,A middle-aged couple's career and marriage are overturned when a disarming young couple enters their lives.,17503828,84,0.84
Cut Bank,Matt Shakman,2014,R,A young man's life is unraveled after witnessing a murder that he filmed in his rural town of Cut Bank.,213012,38,0.38
Ex Machina,Alex Garland,2014,R,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,38261299,92,0.92
Slow West,John Maclean,2015,R,"A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.",2089072,92,0.92
Barely Lethal,Kyle Newman,2015,PG-13,"A teenage special ops agent coveting a ""normal"" adolescence fakes her own death and enrolls in a suburban high school. She quickly learns that surviving the treacherous waters of high school is more challenging than international espionage.",513303,26,0.26
Amy,Asif Kapadia,2015,R,Archival footage and personal testimonials present an intimate portrait of the life and career of British singer/songwriter Amy Winehouse.,23778585,96,0.96
The End of the Tour,James Ponsoldt,2015,R,"The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'",3114343,92,0.92
Dark Places,Gilles Paquet-Brenner,2015,R,"Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.",5685597,23,0.23
Mississippi Grind,Anna Boden,2015,R,"Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.",448641,91,0.91
Room,Lenny Abrahamson,2015,R,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",36316727,93,0.93
Mojave,William Monahan,2015,R,"A suicidal artist goes into the desert, where he finds his doppelgänger, a homicidal drifter.",8602,31,0.31
The Witch,Robert Eggers,2015,R,An isolated Puritan family in 1630s New England comes unraveled by the forces of witchcraft and possession.,40364725,91,0.91
Remember,Atom Egoyan,2015,R,"With the aid of a fellow Auschwitz survivor and a hand-written letter, an elderly man with dementia goes in search of the person he believes to be responsible for the death of his family in the death camp to kill him himself.",4235959,68,0.68
Krisha,Trey Edward Shults,2015,R,"Krisha returns for Thanksgiving dinner after ten years away from her family, but past demons threaten to ruin the festivities.",144822,95,0.95
Green Room,Jeremy Saulnier,2015,R,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,3807503,90,0.90
The Adderall Diaries,Pamela Romanowsky,2015,R,"Elliot, a troubled former successful writer decides to write about a missing wife and the following murder trial of her husband.",15364,26,0.26
The Lobster,Yorgos Lanthimos,2015,R,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",17581104,88,0.88
De Palma,Noah Baumbach,2015,R,A documentary about writer and director Brian De Palma.,168042,95,0.95
Swiss Army Man,Daniel Kwan,2016,R,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.",5837111,73,0.73
Equals,Drake Doremus,2015,PG-13,"In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society.",2124359,36,0.36
Into the Forest,Patricia Rozema,2015,R,"After a massive power outage, two sisters learn to survive on their own in their isolated woodland home.",132306,76,0.76
Morris from America,Chad Hartigan,2016,R,The romantic and coming-of-age misadventures of a 13-year-old American living in Germany.,91151,87,0.87
The Sea of Trees,Gus Van Sant,2015,PG-13,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,908926,17,0.17
American Honey,Andrea Arnold,2016,R,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",2611750,79,0.79
Moonlight,Barry Jenkins,2016,R,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",64895106,98,0.98
Oasis: Supersonic,Mat Whitecross,2016,R,Oasis's breakthrough years documented into a detailed depiction of the infamous brothers from Manchester forming the band in the early '90s leading up to the legendary performance at Knebworth.,1515491,84,0.84
The Monster,Bryan Bertino,2016,R,A mother and daughter must confront a terrifying monster when they break down on a deserted road.,86288,81,0.81
20th Century Women,Mike Mills,2016,R,"In 1979 Santa Barbara, Dorothea is a determined single mother who is raising her son, Jamie. Dorothea enlists the help of two women -- Abbie, a free-spirited punk artist and Julie, a savvy teenager -- to help with Jamie's upbringing.",9353729,88,0.88
Trespass Against Us,Adam Smith,2016,R,A man looks to find a way to escape the criminal ways of his outlaw family.,1201442,56,0.56
The Blackcoat's Daughter,Osgood Perkins,2015,R,"During winter break, two students stay in an all-girls boarding school in the company of a terrifying presence.",143545,77,0.77
Free Fire,Ben Wheatley,2016,R,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.",3793739,70,0.70
The Lovers,Azazel Jacobs,2017,R,"Debra Winger and Tracy Letts play a long-married, dispassionate couple who are both in the midst of serious affairs. But on the brink of calling it quits, a spark between them suddenly reignites, leading them into an impulsive romance.",2216374,81,0.81
The Exception,David Leveaux,2016,R,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",834580,76,0.76
It Comes at Night,Trey Edward Shults,2017,R,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",19720203,87,0.87
A Ghost Story,David Lowery,2017,R,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",2769782,91,0.91
Menashe,Joshua Z Weinstein,2017,PG,"Within Brooklyn's ultra-orthodox Jewish community, a widower battles for custody of his son. A tender drama performed entirely in Yiddish, the film intimately explores the nature of faith and the price of parenthood.",1944300,95,0.95
Good Time,Benny Safdie,2017,R,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",4137324,91,0.91
Woodshock,Kate Mulleavy,2017,R,"A woman, consumed by profound grief after a personal loss, aided by a potent drug meant for the terminally ill, delves into her psyche for solace set in the hauntingly beautiful redwood forests.",43550,27,0.27
The Florida Project,Sean Baker,2017,R,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",11275645,96,0.96
The Killing of a Sacred Deer,Yorgos Lanthimos,2017,R,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",10708745,79,0.79
Lady Bird,Greta Gerwig,2017,R,"A fiercely independent teenager tries to make her own way in the world while wanting to get out of her hometown of Sacramento, California and to get away from her complicated mother and recently-unemployed father.",80120944,99,0.99
The Disaster Artist,James Franco,2017,R,"When aspiring actor Greg Sestero meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",28717667,91,0.91
The Ballad of Lefty Brown,Jared Moshe,2017,R,"A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice.",7856,79,0.79
The Vanishing of Sidney Hall,Shawn Christensen,2017,R,"Sidney Hall finds accidental success and unexpected love at an early age, then disappears without a trace.",923465,12,0.12
The Last Movie Star,Adam Rifkin,2017,R,"An aging former movie star is forced to face the reality that his glory days are behind him. On its surface, the film is a tale about faded fame. At its core, it's a universal story about growing old.",14410,61,0.61
Lean on Pete,Andrew Haigh,2017,R,"A teenager gets a summer job working for a horse trainer and befriends the fading racehorse, Lean on Pete.",2985001,90,0.90
Backstabbing for Beginners,Per Fly,2018,R,A young program coordinator at the United Nations stumbles upon a conspiracy involving Iraq's oil reserves.,343773,41,0.41
First Reformed,Paul Schrader,2017,R,"A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.",3988612,94,0.94
How to Talk to Girls at Parties,John Cameron Mitchell,2017,R,An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London borough of Croydon.,385733,47,0.47
Hereditary,Ari Aster,2018,R,A grieving family is haunted by tragic and disturbing occurrences.,80942650,90,0.90
Woman Walks Ahead,Susanna White,2017,R,"Catherine Weldon, a portrait painter from 1890s Brooklyn, travels to Dakota to paint a portrait of Sitting Bull and becomes embroiled in the Lakota peoples' struggle over the rights to their land.",627538,59,0.59
Eighth Grade,Bo Burnham,2018,R,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,14348020,99,0.99
Hot Summer Nights,Elijah Bynum,2017,R,"In 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head.",290677,46,0.46
Never Goin' Back,Augustin Frizzell,2018,R,"Jessie and Angela, high school dropouts, are taking a week off to chill at the beach. Too bad their house got robbed, rent's due, they're about to get fired, and they're broke.",61271,76,0.76
A Prayer Before Dawn,Jean-Stephane Sauvaire,2017,R,The true story of an English boxer incarcerated in one of Thailand's most notorious prisons as he fights in Muay Thai tournaments to earn his freedom.,499527,92,0.92
Slice,Austin Vesely,2018,R,"When a pizza delivery driver is murdered on the job, the city searches for someone to blame: Ghosts? Drug dealers? A disgraced werewolf?",62053,52,0.52
The Children Act,Richard Eyre,2017,R,"As her marriage crumbles, a judge must decide a case involving a teenage boy who is refusing a blood transfusion on religious principle.
",14035592,74,0.74
Mid90s,Jonah Hill,2018,R,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",9186903,81,0.81
Outlaws,Stephen McCallum,2017,R,1% is set within the primal underworld of outlaw motorcycle club gangs. It follows the heir to the throne of a motorcycle club who has to betray his president to save his brother's life.,58652,37,0.37
The Hole in the Ground,Lee Cronin,2019,R,"A single mother living in the Irish countryside with her son begins to suspect he may not be her son at all, and fears his increasingly disturbing behavior is linked to a mysterious sinkhole in the forest behind their house.",2751251,83,0.83
Climax,Gaspar Noe,2018,R,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.",1905109,69,0.69
Gloria Bell,Sebastian Lelio,2018,R,A free-spirited woman in her 50s seeks out love at L.A. dance clubs.,9710517,90,0.90
High Life,Claire Denis,2018,R,A father and his daughter struggle to survive in deep space where they live in isolation.,2769756,83,0.83
Native Son,Rashid Johnson,2019,TV-MA,A young African-American living in Chicago enters into a seductive new world of money and power after he is hired as a chauffeur for an affluent businessman.,100,62,0.62
Under the Silver Lake,David Robert Mitchell,2018,R,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",2804142,58,0.58
The Souvenir,Joanna Hogg,2019,R,A young film student in the early '80s becomes romantically involved with a complicated and untrustworthy man.,2087678,90,0.90
The Last Black Man in San Francisco,Joe Talbot,2019,R,A young man searches for home in the changing city that seems to have left him behind.,4637842,93,0.93
Midsommar,Ari Aster,2019,R,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,46713431,83,0.83
The Farewell,Lulu Wang,2019,PG,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",25466013,97,0.97
Skin,Guy Nattiv,2018,R,"A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves.",530221,76,0.76
Share,Pippa Bianco,2019,R,"After discovering a disturbing video from a night she doesn't remember, sixteen-year-old Mandy must try to figure out what happened and how to navigate the escalating fallout.",100,83,0.83
